,Reviews,Sentiment Analysis
59,"Characters that suffer abuse can be a good element in a plot. But audience should never suffer abuse. The audience needs to experience catharsis in the end. And this never happens with 'Joker'. The film has a huge problem, which it never manages to solve: it wants to be realistic and tell the tale of an innocent, abused individual who snaps; but it also wants to exist within a fictional universe in which this man is as much of an abuser as he is a victim. And this creates problems for the screenwriters that they never manage to solve. Thus Joker comes across as a sympathetic character first, but turns to a vicious killer towards the end, at which point everyone becomes confused, and stops liking him. There is no redemption of any kind, no satisfying emotional resolution, only a brutal ending which serves the purposes of the wider franchise and doesn't deliver on its own terms. In the end, the character we were made to empathize with becomes nothing but a caricature in a silly superhero universe. And that is an insult to anyone who invested in the character from the beginning. The audience is cheated. Also, one should note the disturbing anarchist/communist vibe in the film - the idea that it's better to burn down the world than allow their particular understanding of 'injustice' to go on. I may pity Joker and hate the cynical Wayne, but I won't put degenerate, mentally ill clown in charge of an angry mob that wants to burn everything down.",Negative
60,"Joaquin Phoenix just playing Joaquin Phoenix. Boring, Twisted, Sick piece of crap. A one and done movie.",Negative
61,"That should be the title, the worst possible situations solve the worse way possible, over and over, and this what people like? no wonder the World is the piece of crap that is today and going worse by the day, we deserve to be extinct.",Neutral
62,"One of the best movies in these few years and 100% Oscar worthy

Joaquin Phoenix delivers one of the best performances I've ever scene",Positive
63,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don't need CGI super powers to be a great villain in a Superhero movie. Is a joke not everyone gets. This movie is ""the rise of the Joker!"" 10/10",Positive
64,"One of the worst movies I have ever seen. Ok, maybe not but they hype surrounding the movie killed it for me. It's not a masterpiece but an ok film. Why the one star? Way too many 10's! For once I actually agree with the actual critics who graded this film.",Negative
65,,Neutral
66,"Honestly people who have rated this movie as a ""masterpiece"" need to start watching some actual masterpieces. Predictable over indulgent and simplistic (not in a good way). You could see every ""climax"" 10 mins before it happens. Good things and why I have it 4. 1.Score 2.Cinematography 3.Art direction 4.Music choice

Film makers need to start making some good films!",Positive
67,"While we were at one of the only pre-screenings in my city, it has taken me a while to review this title, because I've been torn on it.

Yes, Joaquin Phoenix, who has always been a veritable bastion of talent, was masterful in the role. Yes, Phoenix's portrayal of his character was riveting. Yes, the story was both gripping and also necessary, especially today when it seems that mental illness is running rampant. Yes, the tone was magnificently set within both the cinematic and art direction.

What I have a problem with, is the way it tied into the Batman universe and particularly with what it had in common and what differentiated it from the Jokers of the past. I still have problems making the two worlds merge.",Positive
68,,Neutral
69,Everyone should riot and be violent? The actor's skill isn't that great. Just laugh. Anyone can do that. Joker nominated for Academy award is a joke.,Negative
70,"Greetings again from the darkness. The first thing to know is that this is not a Superhero movie. In fact, there are no heroes in the movie - unless you would like to apply the label to a single mom who lives down the hall from Arthur Fleck. Mr. Fleck lives at home with his invalid mother in a grungy, run-down apartment. He works as a clown-for-hire, dreams of becoming a stand-up comedian, and depends on social services to supply the 7 medications he takes since being released from Arkham State Hospital. It's a bleak existence at a bleak time in a bleak city. Gotham is in the midst of a garbage workers' strike (only the 'super rats' are happy), political upheaval, and a growing chasm between the classes. And then it gets worse for Arthur.

The second thing to know is that this is a standalone Joker film, and one mostly unrelated or not connected to previous projects featuring the colorful Clown Prince character played (and voiced) by such memorable actors as Cesar Romero, Jack Nicholson, Heath Ledger, Mark Hamill, Jared Leto and even Zach Galifianakis. Director Todd Phillips (who co-wrote the script with Scott Silver) is best known for such extreme comedies as ""The Hangover"" franchise and OLD SCHOOL, so he's a bit outside of his usual wheelhouse. Phillips and Silver seem to embrace not just the history of the character, but also the look, texture and tone of filmmaking from an earlier era. The gritty and outcast feel of Scorcese's TAXI DRIVER and THE KING OF COMEDY is present, and so are numerous tributes to familiar Joker moments of days gone by.

Three time Oscar nominee Joaquin Phoenix plays Arthur Fleck, and he delivers Arthur's slow descent into madness, or shall we say further descent. It's clear from the beginning that Arthur views himself as ignored by society, while all he wants to do is bring joy and laughter to others ... and be noticed. His daydreams or visions of himself in a better world send a strong message. Phoenix shows us what full commitment to a role looks like. He lost 50 pounds, leaving a frame that contorts, moves and dances in a manner unlike what we've seen before. In fact, it's a toss-up on which shows up more frequently, his dances moves or his maniacal, pained laughter. We are informed Arthur suffers from Pseudobulbar Affect, also known as emotional incontinence, which causes that creepy laughter to pop up at some inappropriate times. Of course, the comparisons to Heath Ledger's Oscar winning turn in THE DARK KNIGHT are inevitable. The roles and films are written quite differently, and it's safe to say both actors were all-in.

Action sequences and special visual effects are both noticeably absent, but the violence is sure to shock. This is not one for the younger kids, no matter how much they enjoy THE AVENGERS or WONDER WOMAN (or any other DC or Marvel film). This gritty, visceral approach is often a tough watch, and is much more a character study of mental illness than a costume drama ... although Arthur's clothes and make-up are front and center. When Arthur states, ""I have nothing but bad thoughts"", we believe him. And the sympathetic back story explains a great deal, and will likely prove quite controversial.

Phoenix dominates the film (as he should), and supporting work is provided by Robert De Niro as Murray Franklin, a TV talk show host in the Johnny Carson mode; Zazie Beetz (DEADPOOL 2) as the single mom neighbor Sophie Dumond; Frances Conroy as Penny Fleck, Arthur's mother; Brett Cullen as a not so empathetic Thomas Wayne; and Shea Whigham and Bill Camp as police detectives. I'll hesitantly mention that Dante Pereira-Olson makes a couple of brief appearances as an adolescent Bruce Wayne, and just for fun, we get a shot of the young man honing the batpole skills he will use later in life. Just don't expect any ""real"" Batman references.

Director Phillips delivers a film that looks and feels and sounds much different than other comic book movies. Cinematographer Lawrence Sher is a frequent Phillips collaborator (all 3 Hangover movies) and the dark look and gritty feel are present in most every shot. Hildur Guonadottir (this year's Emmy winner for ""Chernobyl"") serves up a foreboding score - one that never overwhelms, and one that contrasts perfectly with the more traditional songs utilized throughout: Stephen Sondheim's ""Send in the Clowns"", Jimmy Durante singing ""Smile"", Cream's ""White Room"", ""That's Life"" by Frank Sinatra, and Gary Glitter's familiar ""Rock and Roll Part 1 and 2"". The ""Smile"" song is especially relevant as its origins can be traced by to Charlie Chaplin's MODERN TIMES, a silent movie classic featured in this film. Phillips even uses the Saul Bass designed Warner Bros logo to open the credits, making sure we understand the time period (no cell phones, etc).

The film traces Arthur's slide into crime ... a transition that he wasn't seeking, and one that he believes was forced upon him. His rise as a savior to the working class is secondary to his own journey, and the chaos is handled on the perimeters of the film, preventing this from becoming a Super Villain movie. Keep in mind JOKER played at Venice, Telluride and Toronto - three prestigious festivals. This is just another thing that sets it apart from others in the genre. Despite the 1981 time stamp, the consistent anti-rich message and class disparity is prevalent throughout. This appears to be Phillips' way of including a contemporary theme in a decades-old setting. And it's a cautionary tale that there should be no clown left behind.",Neutral
71,"Not sure what kind of message this movie is supposed to send. Or is it supposed to be just fun, because it's not. I don't sympathize with the main character at all, throughout the whole movie he would get on my nerves. I was waiting entire time for the plot to start revolving and when it finally did, the movie was over and left me with a feeling that I've waisted two hours of my life on nothing. For a movie with this high rating I expected to see something fresh and inspirational and somehow it seems to me all the scenes and acting I've seen in this movie I saw a thousand times in bunch of other movies, like it was cliche after cliche. Yawn festival.",Neutral
72,"This film surpassed all other films in portraying the slow descent into madness, caused by biological, psychological, social and familial factors. It also highlighted the decaying n broken system n society's austerity. The film is very dark, it has amazing cinematography n this year's best performance by Phoenix. It has a very surrealistic feel n in fact a solid non horror film which is terrifying n poignant.",Negative
73,"Take the next ingredients :
The King of Comedy
Requiem for a Dream
The Dark Knight
Taxi Driver
Mix all of these and then ladys and gentlemans we have : Joker .",Positive
74,Creative actor Joaquin creativity embodied the role of the Joker film deserves more than 10,Positive
75,,Neutral
76,"A deep scan of reviews has fans that can understand depression become overwhelmed with empathy. There is a reason for everything, and understanding the context of a nostalgic character like the joker is what works.

There was not a faithfulness to the scenes in Batman begins. Police chief introduces him during the outro as someone fairly unknown not a state wide celeb as played out in this film, that break in story continuity ruins it for me.

Likewise the reinterpretation of Mr Wayne as something he never was. This takes away from the moral clarity of the pending superhero Batman.

The greed narrative feels like its something that was force fed without rhyme or reason. While the joker had a substantial arc, the sub plots did not.

Nostalgia is what brings the film to life, there is not many ways to not make money from iconic characters, this film should have been attempted years ago!

Over the years Hollywood actors have been applauded for playing villians which is the easiest character study of them all. Whats hard is being protector of the realm without it feeling preachy or cheesy. These roles get a natural upscaling.

The main plot element of inviting Arthur onto the talk show was not convincing, the stand up performance was not in the genre of 'so bad its good' his first vision from the audience defending his mother was however powerful and well written.

A cameo for Alfred the butler would have been special and really pulled us back into the story.

The ways this film was lauded in its first week was ridiculous, it does drag in many places over the 2hr hour screening.

All the theatrical trailers were an 8 so many of us expected more. To say this is a better production than Batman Begins is shocking.

The difficult reality to bare in this over hyped rating and cultural reality is many people in our age really feel like this and are on the verge of rioting after life takes its toll.

The broken man whose mental instability and illness is the catalyst for what Arthur Fleck eventually becomes is a great story that can be told a million ways, this was not executed well.

The dream sequences worked well but the device was still not as good as Heath Ledgers raw portrayal of a psychopathic megalomaniac and the cinematography of Nolan in related films.

Simple plot failures like the police not being able to catch up with Arthur who was not trying to be careful was disappointing and took me right out of the story.

A good ensemble of actors can't save a bad script, why was this rushed to production? Something as important as Batman origin stories need much more careful work. I believe over time this score must average out and down.

Was this an homage to ""Taxi Driver"" or ""The King of Comedy"" apparently not. The opportunity for genuine franchise building was surprisingly tossed away and will be hard to repair.

Critics who use the word 'masterpiece' and 'groundbreaking' need to have a long hard look at themselves, their surroundings and the education that they all seem to share. There is F all diversity in this mob who keep playing us.",Neutral
77,"Shoddily written, sloppily directed, this movie steals from both Taxi Driver & King of Comedy but dishonors both. It seems we live in an era that glorifies & wallows in self-pity & boy does this movie nurture that.",Positive
78,"This film tries desperately to devillify the most stylish and charismatic villain in the DC universe and excruciatingly transform him into a poster child for mental illness in the most tedious manner possible.. This version of the Joker lacks any semblance of style, luster, flair, or charisma, leaving me to wonder why anyone would bother investing the time and money required to create this turkey, much less watch it.

They've murdered the Joker for the sake of some social commentary and PC promotion. I don't deny that mental illness is a real issue or that attention should be brought to it, but folks watch movies about supervillians to see super-villainy, not a 2 hour public service announcement. I hung in there as long as I could hoping for this movie to redeem itself, but about 3 quarters of the way through I could take no more of watching it spin it's wheels.

If you are a fan of the Jack Nicholson or Heath Ledger versions of the Joker then you will likely find this film as painful to watch as I did.",Positive
79,"I am not a Batman fan nor am I particularly fond of Joaquin Phoenix, but this movie was truly exceptional. It started slow but built to a viscerally satisfying crescendo. I never thought I would be rooting for the Joker, but found that I did so throughout the movie. The Joker's pain was so palpable. I am filling out my Oscar pool card right now.

PS This movie is dark and violent and decidedly not a super hero movie. Leave the kids at home.",Positive
80,"Good movie from Hollywood finally!

Good acting, predictable but good twists.

Building up great story.

However soke characters are flat.

Crowd scenes are silly (they still font have a good crowd director, background artists just hanging around aimlessly out of character and without any sense)

Music is too loud as usual.

Sounds too loud.

Special effects too much.

But nice music choice.

Luckily not too many much special effects and sounds used

Great work from the director, nice cut, good screenplay, good visual art.

I wish to see the next part with same style.

Wish to see batman and all the other characters but in this watchable style.

I would even put less action in them.

I wish to see batman, and all other twisted characters in real deep drama.

I hop to see more good movies like this.",Positive
81,"Joaquín Phoenix's unconvincing laughing, and looking like a beaten dog had brutaly ennoyed me after 5 minutes. The world is mean and bad, and you can only be bad and hit back. Chaos, anarchy, whatever .. inspires bye a clown who killed 3 bullies. More of this stupid excess of brutality in the name of... what? Yes. It is the same director as in the hangover 3. I don't want to be a partir of this. Brutal and boring.",Negative
82,"Cinematography, costume design and one powerhouse performance do not a good movie make. In truth, Joker is poorly paced with a lackluster story that Frankenstiens together elements from The King of Comedy and Taxi Driver. It borrows so liberally I'm amazed it didn't get hit with a plagiarism lawsuit.

Additionally, the movie has the subtlety of a sledgehammer. It's sociological commentary is ham-fisted and bland, and it lacks any truly jaw-dropping moments. Outside of the Talk Show scene and a single shot near the end, it's all very forgettable.

And the song for the stair dance sequence was so colossally stupid it completely pulled me out of the film.

That being said, Joaquin was great and the aforementioned cinematography and costume design were very solid. All in all, the movie coasts on Phoenix's mesmerizing portrayal, but never goes far enough to really get under your skin. Biggest letdown of the year.",Neutral
83,"The one star only goes to reward the performance of the main actor. That's it! The rest of the movie is really just ... nah ... I really was expecting an amazing movie according to all the reviews ... but really, it - does - not - make - any - sense. What in this movie makes it so different that it deserves a 10? On average, users would review that a 6 or an 8 at max. So i wonder if there hasn't been a scam somewhere telling people: ""Put a ravishing review on Joker and you'll get an iPhone for free!"" The movie is very slow, very repetitive, not surprising, dragging, stupid (Joker seems to be 50 while Bruce is 10 ... So when Batman arrives, is he fighting a septuagenarian ???!!!) ... and dare i say, unoriginal ! All in all, boring!",Positive
84,,Neutral
85,"I'm genuinely baffled why people loved this film so much. The pacing seemed awkward, most scenes were boring and contributed little, and then the payoff seemed exaggerated and immense given the build up; and not in an exciting way. Apart from one scene I don't find anything in this film memorable. Gotham did this story better with a side character than this movie did.",Negative
86,,Neutral
87,"It was well played film. Of course JF does his due diligence. However, people blew this up because thats all people do these days is talk about everything thats not real life. Was a good different spin on a DC comic movie. This was more of if Joker was though of outside of the DC world. I think since movie imagination and creativity has bern lost through cgi , we take a movie such as this and make a huge deal of it. So ehhh it was good but Stop with the hype.",Positive
88,,Neutral
89,"While I enjoyed the film, it felt pretty short. When ""The End"" appeared on the screen I couldn't help but think - ""That's it?""

Joaquin Phoenix was fantastic with his new take on the Joker, and it's mesmerizing to see his facial expressions keep changing. And his Joker laugh is unique - sinister and full of Joker's madness.

However despite some minor plot twists, most of interesting bits in the film have already been shown in the trailers. Don't expect much action like in The Dark Knight trilogy. Despite the much hyped gun violence, there are less guns in this movie than in any other Batman flick.

This is not a bad film, but it's not a great one either. Watch it only for Joaquin's performance.",Positive
90,"How easily pleased have some people become? When a 'major' movie is this simplistic and obviously just another copy of many other overrated downers - it leaves someone needing to explain how this nonsense then goes on to rate a ridiculous 11 Oscar nominations? Who can truly take the Oscars seriously any longer? Joker is a typical super-ugly, comic book R Rated serial killer story - which grinds its endless way through non-stop, grotesque situations of the most maudlin kind. We've already seen this character (somewhat over-played by Phoenix) far too many times in the past. Even the dark, sleazy settings don't invite interest, and has left many viewers wanting it all to end quickly but no, it drags on for over two hours, feeling painfully more like three.

Then there's the casting of an over-used De Niro, intended to help capitalise on some of those 'gangster- obsessed' Scorsese offerings. Many paid to see this over-hyped lowbrow tosh, expecting to experience a masterpiece - only to wish they could get back their time and money for better use.

If uninspired morbidity is your thing, you'll get a bellyful - otherwise, stay well away and watch this junk fade into the obscurity it deserves, hopefully, along with the copycat movie makers. The final images this movie creates of carnage on the streets of America, looks more like the sorry, robotic BLM mayhem that's reducing the USA to a decaying mess. Just what the CCP and others would be quite happy to see - Civil War. Such a pitiful shame and a sick joke.",Positive
91,"No one will ever say Joachin Phoenix didn't give his all, but if you watch enough loner-with-an-agenda film such as ""King Of Comedy"" or ""Taxi Driver"" you know where the pieces will fit. The other thing is that the message of how society, in its neglect for the mentally ill will cause a rift in a population that is sick and tired of being sick and tired. In this case, where you identify with is where the Joker can get you. And empathize for what he must do. An achievement in making the unintentional sociopath that we see in all the movies. It's not without its charm. Granted, these dark misanthrope characters never bothered me...call me a dark person...there are sly nods at what is to be (a young Bruce Wayne sliding down a playset pole to greet Fleck was an especially nice one). The other thing is what is known as anachronistic music and movies. Okay...having Cream and Gary Glitter and having Charlie Chaplin is no longer an alternate universe. It means Gotham is real and it kept having to readjust my mind that it wasn't New York City circa 1981. They either know our pop culture evolution or you don't. The other thing...is that it still raises so many questions as to the Joker's history. A simple one of emotional betrayal by those he held close but can't exhibit closeness isn't going to work. The betrayal is meaningless. Which, unfortunately, is the ugliness of The Joker. Who do you root for here. Thomas Wayne, the future tyrant capitalist, unwavering in a modicum of kindness who is a victim of rampant unrest between the rich and poor. Or the Joker, a product of the most sludge scraping bottom who does very little to further his lot in life other than to report to a menial job while being medicated to death? It's all ugly and there are no sunshine. That is NYC today...I mean Gotham. It's a perverse film that sets up larger ideas that seem to fizzle into an unnecessary overbearing notes of ""gee, isnt the music so different than what we see"" territory. Todd Phillips does an excellent job at capturing the time but look...it's either reality or it's not.",Neutral
92,"I tried watching this twice & I couldn't get more than 30 minutes in. It was the most uncomfortable awkward thing I've watched in a long time, couldn't sit through it.",Negative
93,"BORING!! Boring.... so boring as hell!

I want my 2 hours back!

The only joker I loved was in the ""Dark Night"", this one was very talented.

There is no logic in this movie, producers are as sick as they joke(r), nothing in the brain.",Negative
94,The movie is highly overrated...the character building was spot on and so is the Joaquin phoenix's performance... Extremely low on entertainment value...a very dark movie... 5 stars for Joaquin and 2 for the makers,Negative
95,,Neutral
96,"Didn't enjoy this in the cinema and I didn't enjoy it at home. It's not saying anything coherent about how we treat mentally ill people or what a coarse society can do to a person. The story is Nonsensical and relentlessly grim and, while I'm willing to suspend disbelief enough to buy a man in a bat suit, i can't suspend it enough To believe a person like fleck would be treated in the way his is treated. Am also meant to believe this guy is a criminal mastermind? Or perhaps that none of it happened except in his head? Whatever. It's pointless dross. People who think this is great clearly don't watch many films.",Negative
97,,Neutral
98,"Mentally disturbed clown who wants to be a comedian. How he imagines things like it is happening to him in real-life and this really disturbs him, along with the disrespect he gets from the people around him, and brings him in with his alter-ego and our beloved character, Joker 🃏 P.S. Joaquin is brilliant in this.",Negative
99,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong. I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie. What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!",Neutral
100,"This movie rips off other movies, doesn't have any redeeming value, and even implies Bruce Wayne is the father of the Joker? What kind of joke is this? Not a DC movie, not an origins story. Just the work of some hack who stole ideas from Scorsese, and tries to make a dangerous, ill man into some kind of folk hero. Unfortunately Joaquim Phoenix just overacts in this one. And he's in literally every single scene in this movie, so it becomes very tiresome to watch. Crap.",Negative
101,"Make everyone into pricks and jerks towards a clown because he'll become one of the deadliest batman villains of all time.

Bedaaaaboring!

From the getgo everyone was being jerks. That's not the main problem. It's just the movie lacked dept. People are jerks to Arthur and he reacts. People are jerks and Arthur reacts. That was the whole movie.

Everyone that Arthur interacts with are pricks to him. With the exception to the sick children there was not one person that had a positive relationship with Arthur.

This movie is evidence that anyone can make a billion dollar movie as of 2019.

Lastly the movie never really starts. Once the movie gets interesting. The credits roll.",Negative
102,"First of all amidst all chaos i could appreciate the brilliance in Joaquin Phoenix's acting. He has nailed what most of the current lot of actors would not even think of reaching. I can specifically see three different personalities inside his role. He did an amazing job on all three.

Secondly , A film is not all about how well the lead actor performs and binds to his role. It should have a sound cinematography and Script. Joker is seriously do not have a story to relate for the viewers. In the entire film it was just searching for a story or a message to relate for the viewer. Script is just touching here and there but never had a solid flow or emotions attached to it. That is why I never felt sorry or sad about JOKER or the underprivileged people. I was just having zero emotions to the movement he started or for the things he had done in the film.

I would sight this film as a classic example for a failed script which always tried to deliver best scenes for the lead actor. In one aspect Joaquin actually kills all other what would be good factors which would have contributed to overall success of the film. All scenes are directed to make JOKER shine hence the story and the character build up of the rest has been clearly ignored and dumped.

This film can win the award for the best actor in a leading role but will not even nominate for any other categories. What did that tell you ? Success of the film or a failure ? It is up to you to decide.

I would remind you of ""Forrest Gump"" in 1994 . Tom Hanks played a similar role and all the attention was on to him. But it had a very heartwarming and a complex story to tell. Rest of the cast had a role to play in the story. All in all Tom Hanks did not do justice for him but for the entire film. Film ended winning 6 Oscars in 1995 competing with the likes of Shawshank Redemption/ Pulp Fiction.",Negative
103,"Joker is literally an achievement in cinematic history there's no doubt in that ! But why people comparing it with Endgame ? Both movies have their own ways and they are completely different. Endgame was the best at its genre. Talking about Joker ... What can I say ... A beautiful presentation of storyline , direction , screenplay was all at its peak of greatness ... Heath ledger smiling down to earth :)",Neutral
104,"This film is undeserving of the praise it received. Boring and uninteresting in every imaginable way. A failed celebration of derangement culminating in the end with an act of cowardice. There was no depth, only subcutaneous attempts at shock. It was predictable and boring.",Negative
105,,Neutral
106,,Neutral
107,,Neutral
108,"Joker is anything but a masterpiece, although it certainly takes itself seriously enough and it tries harder than any movie in recent memory to be one (maybe the recent Star is Born tries harder). But I found it largely languorous, psychopathic in its intent and subsequent failure to move me on any level and, well, not worth even a laugh.

I don't know what the point of this film is, since it doesn't really work as Batman lore, providing a shoddy psychological construct around the Joker's origins, and if the idea was to top either Nicholson or Ledger it failed me (Nolan's Joker vision is far more nihilistic, seemingly coming from nowhere, with a twisted, brutal sense of humor about him.) Here we are meant to empathize with poor disgruntled Arthur Fleck, which might have been easier had he not been fed so many obvious motivations for his disgruntlement, and propped up by such lazy writing.

If Joker is meant to 'be a mirror' to our times, it fails again, to say anything relevant or novel about society, or about the US, or the mental health system or anything really that hasn't been said a million times before, and instead seems focused on taking itself really really seriously, and wants us to find sequences of the Joker dancing to Gary Glitter edgy and bombastic, when really these sequences are dull and incongruent deadweight.

Fans will lambast the haters of this film, but frankly I was bored by its flat embrace of pointless amorality. I wanted better, more biting satire, more layers, more motivation. Instead we get superficial, ultra-violent and pointless dreck which says and means nothing, even while it looks swell, has a great cast and seemingly all the ingredients are in order. But maybe that's the trade off for giving the reigns of such a film to the Hangover director.",Positive
109,"Seriously, unbelievable. Dare I say better than Heath Ledger? If Joaquin Phoenix doesn't win the Oscar for best actor and 'Joker' doesn't win at the VERY least, best screenplay, it will be one of the biggest Oscar snubs of our time",Neutral
110,"Joaquin Phoenix produces one of the most memorable performances ever captured in a feature film, earning the hardware and accolades he received for his stunning and disturbing portayal of Joker.

Joaquin puts on a virtuoso spotlight performance, and elevates the movie to legendary status. Credit director Todd Philips for building tension throughout the film, capturing the nuances of Joker's tortured dark-side slide into deranged, violent insanity, keeping the film's pace and flow on-track without unnecessary fill, utilizing and applying various camera lenses, shot angles, lighting, colors/hues, aperture settings (e.g. bokeh), and scene framing, and allowing Joaquin to tap into his own dark corners and utilize his unique acting instincts in developing his character.

Phoenix's acting performance leaves nothing on the table - if keeping score, Phoenix tallies a perfect 10 producing a truly legendary performance, transforming the film from God knows what it would have been with another actor to a 9/10.

A performance and film that one will not easily forget.",Positive
111,"Labored through until the halfway point (over two days) and gave up. That's an hour of my life wasted. What a depressing, preachy pile of nonsense. I watch movies to be entertained and this movie didn't come close.",Negative
112,"This is not an underdog antihero story, if that's what you were expecting. This movie makes no attempt (as so many other movies do these days) to put a positive spin on a villain or invert morality to make its protagonist secretly good or make the audience root for him. Despite this, the film elicits empathy for the broken man it holds in its spotlight in the same way one might feel empathy for a diseased, mistreated, but ultimately unsalvageable dog. In the end, your heart goes out to him, but you still feel like someone should put him down, and that's exactly how one ought to feel for one of Gotham's most well known psychopaths.",Neutral
113,"Joaquin Phoenix' performance: A

Rest of the movie as a whole: D

Total: C

Some will love it, some will hate it. I'm somewhere in the middle.",Positive
114,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right.",Positive
115,I like Joakin Phoenix but his performance wasn't Oscar worth like Heath Ledger! The movie wasn't bad and the acting wasn't bad but this writer turned this into a slow joke with this music! I can see why people got upset about the mental ill aspect of this movie but a person with a mental illness pushed to the edge! It didn't stink but it could've been better and I wish it had been!,Neutral
116,"This movie is probably about a 7.2. It is pretty enjoyable. It isn't as good as the people who are paid to post fake reviews here claim but those people are easily discovered by the fact that they rate every move 10/10.

It is worse than the Dark Knight and I didn't find the Joker better than Heath's or Jack Nicholson's This isn't an action movie so people going into it expecting that won't get it but it is a good character study which unfortunately may be boring to many people. Reminded me of There Will be Blood than Batman",Positive
117,"Whether you end up loving or hating Joker, Todd Phillip's gritty and Scorsese like take on the legendary DC comics villain, there's no denying that the cinematic comic book adaptations landscape has been changed forever.

Just as Nolan changed our expectations for what a comic book film can be with his Dark Knight trilogy, Joker's examination of the birth of a nefarious villain hellbent on chaos and anarchy is unlike anything we've ever seen before, stripping the well known character back to the bare basics as we're introduced to the sad life of the misunderstood and unloved Arthur Fleck.

Sharing more in common with dramas such as Taxi Driver and Serpico, rather than it's other comic book cousins, Phillip's and his mindbogglingly good leading man Joaquin Phoenix take us into the mind of a broken man trying to fit into a world that doesn't want to open its arms to him, in what's an engaging, cant look away character study that slowly but surely descends into a dark and uncomfortable place that befits the name and reputation of its title being.

It may seem far to early to call but I for one am confident in saying that Phoenix's full embodiment of Fleck goes down as one of the most singularly impressive acting turns of not only the decade, but all time.

Similar to what De Niro did as Travis Bickle in Taxi Driver, what Daniel Day Lewis did as Daniel Plainview in There Will Be Blood and what Pacino achieved with Sonny in Dog Day Afternoon, Phoenix commands every second of screen time he gets in Phillips dark tale, in what must surely be the biggest sure fire bet for an Oscar you could ever hope to get.

From the way in which Fleck appears physically, from a simple walk, through to a slight facial tick, right through to a haunting and hard to forget collection of haunting laughs, Phoenix appears in virtually every scene of Joker and never ones fails to enthrall, and in doing so his managed to do the seemingly impossible of allowing us to understand a deeply flawed and depraved creature but a creature you begin to understand and at times even feel sympathy towards.

For all the great incarnations of the character, it's hard to think of a better way in which the Joker could be born into existence and by bringing his own flavour and nuances to Fleck, there's no point in comparing Phoenix to Heath Ledger's iconic take on the face painted mad man, with this take a whole different beast entirely.

As good as Phoenix is, it would've only taken the film so far had Phillip's and his team not come to the party but for a relatively small budgeted film, Joker's astounding overall quality ensures it can comfortably sit in the top class of 2019 films.

It's amazing to think that this is a film from the same man that gave us Old School and The Hangover but Joker sees Phillip's grow into a whole new level with his on point direction, that fits perfectly with Lawrence Sher's eye-capturing 70's like cinematography and Hildur Guðnadóttir's memorizing score, giving Joker an epic and unforgettable cinematic verve that brings it's A game too match its captivating leading man.

While first and foremost a believable tale of a man pushed to the edge of his already teetering limits, Joker also manages to throw in a number of surprising narrative and comic book throwbacks that will be no doubt be discussed ad-nauseam by die-hard fans and naturally tie together Fleck's story to a much broader universe without ever feeling forced or unnatural, all within a tale that is as confronting and even topical as you'd get regardless of genre.

Final Say -

Bleak, beautiful and boundlessly inventive, led by a Joaquin Phoenix performance for the ages, Joker is an outstanding cinematic achievement that's sure to be talked about for years yet to come.

5 French Fries out of 5",Positive
118,"I do agree that Joaquin's performance was great, very well done and not an easy part to pull off. That however, was the only good part of the film. Movie was dark as I expected, but so much SLOW dialog it was putting me to sleep. Parts of the movie were VERY predictable, though a couple (literally two) of surprises that were good but didn't out weigh a very slow moving poorly laid out story. I say skip this one and wait for it to hit the other subscription services, I'd ask for my money back but I did stay till the end.",Positive
